Id;ProductName;CategoryId;CategoryName;AveragePrice
5820;Kiełbasy suche i świeże 239;17;Spożywka świeża;5.40
5821;Musli 77;2;Artykuły spożywcze;9.15
5822;Herbata mrożona do 1 L 24;11;Napoje;2.96
5823;Musli 42;2;Artykuły spożywcze;1.74
5824;Pozostałe sezonowe 198;5;Niespożywcze;19.59
5825;Przetwory z warzyw 32;2;Artykuły spożywcze;3.89
5827;Ketchupy 37;2;Artykuły spożywcze;4.86
5829;Pozostałe sezonowe 193;5;Niespożywcze;5.24
5830;Dżemy, konfitury 235;2;Artykuły spożywcze;3.01
5831;Pozostałe wina 215;20;Wino;14.49
5832;Pozostałe przekąski 338;16;Słone przekąski;1.29
5833;Rajstopy, podkolanówki 291;5;Niespożywcze;4.21
5834;Napoje gazowane flavoured do 0,6 L 42;11;Napoje;2.85
5836;Chipsy duże powyżej 101g 176;16;Słone przekąski;6.58
5837;Warzywa, owoce, rośliny REG 64;18;Warzywa & Owoce & Rośliny;6.58
5838;Patyczki, płatki higieniczne 7;5;Niespożywcze;2.81
5839;Napoje niegazowane powyżej 0,5 L 133;11;Napoje;3.40
5840;Batony impulsowe 417;15;Słodycze;3.83
5841;Śmietana ukwaszona 15;17;Spożywka świeża;3.42
5842;Wódki czyste mainstream do 0,2 L 23;1;Alkohol;11.78
5843;Pozostały fast food 34;10;Dania gotowe;3.83
5844;Piwo smakowe butelka 87;13;Piwo;11.95
5845;Produkty rozmrażane nieodpiekane 78;6;Żabka Cafe;1.78
5847;Karma dla kota mokra puszki 35;5;Niespożywcze;2.58
5848;Zupy gotowe do podgrzania 41;2;Artykuły spożywcze;1.93
5849;Dropsy impulsowe 102;15;Słodycze;1.98
5850;Dania gotowe warzywno-mięsne 281;2;Artykuły spożywcze;9.99
5851;Lody wodne 22;21;Lody;1.99
5852;Surówki REG 81;3;Szybkie przekąski;11.99
5853;Niespożywcze REG 48;5;Niespożywcze;2.50
5854;Podpaski, tampony, wkładki 21;5;Niespożywcze;6.04
5855;Artykuły do jadalni 52;5;Niespożywcze;5.99
5856;Wino różowe półsłodkie 25;20;Wino;15.85
5858;Napoje izotoniczne powyżej 0,5 L 61;11;Napoje;3.29
5859;Napoje gazowane typu cola 0,6-1,4 L 18;11;Napoje;4.12
5860;Jogurty pitne 61;17;Spożywka świeża;2.90
5861;Wino białe półsłodkie 39;20;Wino;11.99
5862;Pierogi 129;10;Dania gotowe;4.88
5863;Parówki 87;17;Spożywka świeża;3.95
5865;Szynka, polędwica, schab luz 381;17;Spożywka świeża;16.95
5866;Produkty odpiekane słone 25;6;Żabka Cafe;1.59
5867;Plastry 274;17;Spożywka świeża;4.86
5868;Karma dla psa mokra puszki 23;5;Niespożywcze;5.45
5869;Przekąski za 2 zł 61;16;Słone przekąski;2.00
5870;Przetwory z warzyw 132;2;Artykuły spożywcze;6.43
5871;Letnie kosmetyki 97;5;Niespożywcze;17.73
5872;Wódki gatunkowe mainstream do 0,5 L 122;1;Alkohol;24.07
5873;Piwo jasne premium butelka 61;13;Piwo;4.39
5874;Śledź, przetwory 193;17;Spożywka świeża;10.43
5876;Ketchupy 170;2;Artykuły spożywcze;5.59
5877;Chrzany 55;2;Artykuły spożywcze;3.21
5879;Napoje REG 12;11;Napoje;3.28
5880;Piwo smakowe butelka 35;13;Piwo;3.87
5881;Sery białe kanapkowe 88;17;Spożywka świeża;2.21
5882;Pozostałe wędliny luz 168;17;Spożywka świeża;7.13
